label,pattern,replace
dim,broad,broad
dim,broader,broad
dim,d.b.h,dbh
dim,d.b.h.,dbh
dim,dbh,dbh
dim,dia,diameter
dim,dia.,diameter
dim,diam,diameter
dim,diam.,diameter
dim,diameter at breast height,dbh
dim,diameter at breast height.,dbh
dim,diameter breast height,dbh
dim,diameter breast height.,dbh
dim,diameter,diameter
dim,diameter.,diameter
dim,diameters,diameter
dim,diameters.,diameter
dim,height,height
dim,high,height
dim,in dia,diameter
dim,in diam,diameter
dim,in diameter,diameter
dim,in height,height
dim,length,length
dim,long,length
dim,longo,length
dim,radius,radius
dim,tall,height
dim,thick,thickness
dim,thickness,thickness
dim,wide,width
dim,width,width
